"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","symbol","ENTREZID"
0.523726059806656,-0.408913495966504,0.169,0.176,1,"stable","Chdh","218865"
0.524011476863446,-0.207484740929422,0.341,0.323,1,"stable","Mgat2","217664"
0.524044200595511,0.133133816267593,0.124,0.134,1,"stable","Spice1","212514"
0.524086796078947,-0.335633872947809,0.066,0.072,1,"stable","Gtf3c5","70239"
0.524584076853346,-0.386203665131068,0.053,0.059,1,"stable","Nmnat1","66454"
0.525224225122759,0.236697882724408,0.044,0.04,1,"stable","Fgfbp3","72514"
0.52523124507624,-0.290070234462792,0.126,0.134,1,"stable","3110056K07Rik","73204"
0.525891424035362,-0.347319876122715,0.154,0.162,1,"stable","Dio1","13370"
0.526078558467046,-0.104649962759032,0.764,0.75,1,"stable","Son","20658"
0.526276803842482,0.402818099998741,0.07,0.064,1,"stable","Inpp5f","101490"
0.526332713320261,-0.270498448251472,0.261,0.269,1,"stable","Faf1","14084"
0.526721369625502,-0.428817453580611,0.214,0.218,1,"stable","Tlk2","24086"
0.526862186700043,-0.738376219429952,0.04,0.045,1,"stable","Thnsl2","232078"
0.527107722311167,0.468308229539917,0.014,0.011,1,"stable","Foxo6","329934"
0.527281974934035,-0.242788410966107,0.027,0.031,1,"stable","2010109A12Rik","75610"
0.527303205750934,-0.488873458634953,0.123,0.129,1,"stable","Tnik","665113"
0.527311729806215,-0.16839954886869,0.117,0.109,1,"stable","Ddx20","53975"
0.527538835852466,0.107249577688062,0.094,0.088,1,"stable","Kremen2","73016"
0.527669828798771,-0.156471190503603,0.159,0.17,1,"stable","Brap","72399"
0.527801608923476,0.615727960566255,0.082,0.076,1,"stable","Tcaf2","232748"
0.528468640563041,-1.33908490052847,0.011,0.013,1,"stable","Mill2","243864"
0.528598848696424,-0.138427491412488,0.323,0.305,1,"stable","Mpdu1","24070"
0.528905352332722,0.306368780939945,0.022,0.019,1,"stable","Tmprss7","208171"
0.528931050086208,1.48319202400569,0.021,0.018,1,"stable","Srl","106393"
0.529117932257856,-0.422362378924265,0.052,0.057,1,"stable","Ano8","382014"
0.529197423685229,0.805113759456467,0.038,0.034,1,"stable","Gm10516","100038712"
0.529330248570439,-0.101738208154813,0.247,0.257,1,"stable","Usp48","170707"
0.529346181036342,-0.134901779435969,0.306,0.313,1,"stable","Mapre2","212307"
0.529368830441593,-0.738514961641017,0.05,0.055,1,"stable","Acy3","71670"
0.529421188783758,-0.719013719535593,0.081,0.086,1,"stable","Arhgef2","16800"
0.529454538026326,0.183044485391917,0.216,0.209,1,"stable","Ttc32","75516"
0.530010492347185,-0.305935016265662,0.076,0.083,1,"stable","Tkfc","225913"
0.53024779840141,-0.479361079056286,0.137,0.144,1,"stable","Sbf1","77980"
0.530538647169746,0.513912977418577,0.126,0.119,1,"stable","Naa80","56441"
0.530605544512476,0.121225680287279,0.06,0.055,1,"stable","Cntnap1","53321"
0.530684072948156,0.238985029368931,0.105,0.099,1,"stable","Btrc","12234"
0.530775438938636,-0.201277065423227,0.402,0.377,1,"stable","Arfgap3","66251"
