cpd_id	BC_0d_1	BC_0d_2	BC_0d_3	BC_0d_4	BC_3d_1	BC_3d_2	BC_3d_3	BC_3d_4	Veh_0d_1	Veh_0d_2	Veh_0d_3	Veh_0d_4	Veh_3d_1	Veh_3d_2	Veh_3d_3	Veh_3d_4
HMDB0000094	1.176423049	0.840783333	1.234518075	0.80624543	1.413426272	0.837616883	0.877979453	0.6006994	0.619650616	0.48732815	0.428057199	1.0084662	1.141798054	0.7618744	0.858867123	0.671992008
HMDB0000107	0.007148639	0.006888889	0.019026523	0.004619367	0.014827567	0.010222078	0.012832234	0.0192696	0.000638294	0.018481102	0.010342997	0.0130914	0.008135798	0.0005838	0.005810959	0.010134348
HMDB0000112	1.14273539	1.310975	1.776327701	1.037372127	1.229043293	1.09388961	0.900809614	0.6872936	1.576991848	1.10990374	1.518204701	1.0805242	0.995447665	1.2042884	1.612663014	0.670139106
HMDB0000115	0.031798548	0.073218056	0.035475835	0.041129593	0.055018316	0.021464935	0.064653346	0.060172	0.033738009	0.078789961	0.03382762	0.032683	0.047984047	0.0272482	0.020213699	0.037636156
HMDB0000118	0.000537387	0.001519444	0.000636739	0.000647421	0.001012766	0.000398701	0.000472385	0.0024542	0.01356872	0.000600787	0.000645837	0.0005768	0.000475292	0.0005726	0.000745205	0.00172236
HMDB0000121	0.00054882	0.000983333	0.00131336	0.000761448	0.000957077	0.001418182	0.000477663	0.0012096	0.001304455	0.001298031	0.00159334	0.0014266	0.001337354	0.0014266	0.000868493	0.001065652
HMDB0000122	3.588814882	5.514293056	6.9171222	8.931462805	5.067176318	4.333846753	5.09777738	2.531928	3.744254218	15.52947382	1.831546915	3.0784838	10.81433405	9.8188286	4.773682192	4.116753949
HMDB0000123	18.71439583	30.90734583	19.55945639	22.32389321	21.5065889	24.30092987	19.80932705	21.8811096	20.04885062	21.24075728	18.9981001	18.0266842	24.90751031	23.8773822	19.50888904	22.43103977
HMDB0000128	0.215805808	0.574884722	0.233944401	0.308015204	0.341950971	0.30415974	0.21912573	0.292082	0.359354123	0.27713248	0.524919099	0.237475	0.393158949	0.1736336	0.211221918	0.301536822
HMDB0000130	0.015509256	0.048854167	0.001866208	0.022563439	0.021880666	0.012080519	0.002970217	0.0071442	0.038582938	0.038781102	0.018592165	0.0104174	0.02353035	0.0031906	0.013410959	0.003656518
HMDB0000133	0.079477314	0.087369444	0.056383694	0.168458643	0.129371138	0.012320779	0.110296513	0.0351764	0.020514313	0.090222835	0.01048286	0.035357	0.035960117	0.0584542	0.068342466	0.042315699
